Org Type,Beds,USNEWS Directory,City,State,Par Org,Organization,Pri. Domain,Full Org URL,YouTube Account,YouTube Date,YouTube URL ,TW 1st update,Twitter Account,Twitter URL,FaceBook URL,Blog,FourSquare,LinkedIn,Pinterest,Google+,Delicious,Flickr,Quantcast,Compete
H-GenMed&Surg,138,http://health.usnews.com/best-hospitals/alaska-native-medical-center-6940010,Anchorage,AK,Alaska Native Medical Center,Alaska Native Tribal Health Consortium,anthctoday.org,http://www.anthctoday.org/hospital/index.html,ANTHCtoday,04/11/10,http://www.youtube.com/user/ANTHCtoday,,ANTHCtoday,http://twitter.com/#!/ANTHCtoday,http://www.facebook.com/ANTHCtoday,none,https://foursquare.com/venue/2927246,http://www.linkedin.com/company/54133,,,,,,
H-Psychiatric,80,http://health.usnews.com/best-hospitals/alaska-psychiatric-institute-6940008,Anchorage,AK,Alaska Psychiatric Institute,Alaska Psychiatric Institute,hss.state.ak.us,http://www.hss.state.ak.us/dbh/API/,none,,none,,Alaska_DHSS,http://twitter.com/#!/Alaska_DHSS,http://www.facebook.com/pages/Alaska-Department-of-Health-and-Social-Services/99962144928,none,https://foursquare.com/venue/9953419,none,,,,,,
H-GenMed&Surg,132,http://health.usnews.com/best-hospitals/alaska-regional-hospital-6940015,Anchorage,AK,HCA,Alaska Regional Hospital,alaskaregional.com,http://www.alaskaregional.com/,AlaskaRegional,11/09/09,http://www.youtube.com/user/AlaskaRegional,29/07/2009,AlaskaRegional,http://twitter.com/AlaskaRegional,http://www.facebook.com/pages/Alaska-Regional-Hospital/271551474351,,http://foursquare.com/venue/1312866,none,,,,,,
H-Childrens,199,http://health.usnews.com/best-hospitals/north-star-behavioral-health-system-6940115,Anchorage,AK,"Universal Health Services, Inc.",North Star Behavioral Health System,northstarbehavioral.com,http://www.northstarbehavioral.com/,none,,none,,,none,none,none,none,none,,,,,,
H-GenMed&Surg,364,http://health.usnews.com/best-hospitals/providence-alaska-medical-ctr-6940020/,Anchorage,AK,Providence Health & Services,Providence Alaska Medical Center,providence.org,http://www.providence.org/alaska/pamc/default.htm,providenceak,02/23/10,http://www.youtube.com/providenceak,12/06/2009,ProvAK,http://twitter.com/ProvAK,http://www.facebook.com/pages/Providence-Alaska-Medical-Center/90247838064,none,http://foursquare.com/venue/1777955,http://www.linkedin.com/companies/providence-alaska-medical-center,,,,,,
Acute long-term care,45,http://health.usnews.com/best-hospitals/st.-elias-specialty-hospital-6940007,Anchorage,AK,St. Elias Specialty Hospital,St. Elias Specialty Hospital,st-eliashospital.com,http://www.st-eliashospital.com/,none,,none,,,none,http://www.facebook.com/pages/St-Elias-Specialty-Hospital/84073767625,none,,none,,,,,,
H-GenMed&Surg,14,http://health.usnews.com/best-hospitals/samuel-simmonds-memorial-hospital-6940030,Barrow,AK,Samuel Simmonds Memorial Hospital,Samuel Simmonds Memorial Hospital,arcticslope.org,http://www.arcticslope.org/,none,,none,,,none,none,none,https://foursquare.com/v/samual-simmonds-memorial-hospital/4d7e8b3a870037040f5c7399,none,,,,,,
H-GenMed&Surg,37,http://health.usnews.com/best-hospitals/yukon-kuskokwim-delta-regional-hospital-6940040,Bethel,AK,Yukon-Kuskokwim Delta Regional Hospital,Yukon-Kuskokwim Delta Regional Hospital,ykhc.org,http://www.ykhc.org/,none,,none,,,none,none,none,none,none,,,,,,
H-GenMed&Surg,23,http://health.usnews.com/best-hospitals/cordova-community-medical-center-6940050,Cordova,AK,Cordova Community Medical Center,Cordova Community Medical Center,cityofcordova.net,http://www.cityofcordova.net/,none,,none,,,none,none,none,none,none,,,,,,
H-GenMed&Surg,15,http://health.usnews.com/best-hospitals/bristol-bay-area-health-corporation-6940090,Dillingham,AK,Bristol Bay Area Health Corporation,Bristol Bay Area Health Corporation,bbahc.org,http://www.bbahc.org/,none,,none,,,none,none,none,https://foursquare.com/v/bristol-bay-area-health-corporation/4c7bd70188449eb08e8aab79,http://www.linkedin.com/company/111452,,,,,,
H-GenMed&Surg,64,http://health.usnews.com/best-hospitals/u.-s.-air-force-regional-hospital-6940055,Elmendorf AFB,AK,Department of the Air Force,U. S. Air Force Regional Hospital,jber.af.mil,http://www.jber.af.mil/,JBERPublicAffairs,07/28/10,http://www.youtube.com/JBERPublicAffairs,,,none,http://www.facebook.com/JBERAK,none,,none,,,,http://www.flickr.com/photos/arcticwarrior/,,
H-GenMed&Surg,24,http://health.usnews.com/best-hospitals/bassett-army-community-hospital-6940066,Fort Wainwright,AK,"Department of the Army, Office of the Surgeon General",Bassett Army Community Hospital,alaska.amedd.army.mil,http://www.alaska.amedd.army.mil/,none,,none,,,none,none,none,https://foursquare.com/v/bassett-army-community-hospital/4bcf537c41b9ef3b2636f8e5,none,,,,,,
H-GenMed&Surg,47,http://health.usnews.com/best-hospitals/south-peninsula-hospital-6949030,Homer,AK,South Peninsula Hospital,South Peninsula Hospital,sphosp.com,http://www.sphosp.com/,none,,none,,,none,none,none,https://foursquare.com/v/south-peninsula-hospital/4c4a028242b4d13a8237977c,none,,,,,,
H-GenMed&Surg,61,http://health.usnews.com/best-hospitals/bartlett-regional-hospital-6940085,Juneau,AK,QHR,Bartlett Regional Hospital,bartletthospital.org,http://www.bartletthospital.org/,none,,none,,BartlettHosp,http://twitter.com/#!/BartlettHosp,http://www.facebook.com/BartlettRegionalHospital,none,https://foursquare.com/venue/980842,http://www.linkedin.com/company/1471661,,,,,,
H-GenMed&Surg,54,http://health.usnews.com/best-hospitals/ketchikan-general-hospital-6940100,Ketchikan,AK,PeaceHealth,Ketchikan General Hospital,peacehealth.org,http://www.peacehealth.org/ketchikan/Pages/default.aspx,none,,none,,,none,http://www.facebook.com/pages/PeaceHealth-Ketchikan-Medical-Center/109547669111072,none,https://foursquare.com/venue/5831905,none,,,,,,
H-GenMed&Surg,17,http://health.usnews.com/best-hospitals/maniilaq-health-center-6940130,Kotzebue,AK,Maniilaq Health Center,Maniilaq Health Center,maniilaq.org,http://www.maniilaq.org/,none,,none,,,none,none,none,https://foursquare.com/v/maniilaq-health-center/4bc4ef115e0ab713c5b445eb,none,,,,,,
H-GenMed&Surg,36,http://health.usnews.com/best-hospitals/norton-sound-regional-hospital-6940140,Nome,AK,Norton Sound Regional Hospital,Norton Sound Regional Hospital,nortonsoundhealth.org,http://www.nortonsoundhealth.org/,none,,none,,,none,none,none,none,http://www.linkedin.com/company/221974,,,,,,
H-GenMed&Surg,74,http://health.usnews.com/best-hospitals/mat-su-regional-medical-center-6940150,Palmer,AK,"Community Health Systems, Inc.",Mat-Su Regional Medical Center,matsuregional.com,http://www.matsuregional.com/Pages/home.aspx,none,,none,,,none,none,none,https://foursquare.com/v/matsu-regional-medical-center/4be1aca58c2bc9b6e5a1420b,none,,,,,,
H-GenMed&Surg,27,http://health.usnews.com/best-hospitals/petersburg-medical-center-6940160,Petersburg,AK,Petersburg Medical Center,Petersburg Medical Center,pmc-health.com,http://www.pmc-health.com/,none,,none,,none,none,http://www.facebook.com/pages/Petersburg-Medical-Center/130075117065380,none,https://foursquare.com/venue/19085782,none,,,,,,
H-GenMed&Surg,27,http://health.usnews.com/best-hospitals/sitka-community-hospital-6940205/details,Sitka,AK,Sitka Community Hospital,Sitka Community Hospital,sitkahospital.org,http://www.sitkahospital.org/getpage.php?name=index,none,,none,,,none,http://www.facebook.com/pages/Sitka-Community-Hospital/250637541644,none,,none,,,,,,
H-GenMed&Surg,27,http://health.usnews.com/best-hospitals/searhc-mt.-edgecumbe-hospital-6940135,Sitka,AK,SEARHC MT. Edgecumbe Hospital,SEARHC MT. Edgecumbe Hospital,searhc.org,http://www.searhc.org/,none,,none,,,none,none,none,none,none,,,,,,
H-GenMed&Surg,114,http://health.usnews.com/best-hospitals/central-peninsula-general-hospital-6940215,Soldotna,AK,Central Peninsula General Hospital,Central Peninsula General Hospital,cpgh.org,http://www.cpgh.org/,none,,none,,,none,none,none,https://foursquare.com/v/central-peninsula-hospital/4ba6f81ff964a5208f7a39e3,none,,,,,,
H-GenMed&Surg,22,http://health.usnews.com/best-hospitals/wrangell-medical-center-6949090,Wrangell,AK,Wrangell Medical Center,Wrangell Medical Center,wrangellmedicalcenter.com,http://www.wrangellmedicalcenter.com/,none,,none,,,none,none,none,none,none,,,,,,
H-GenMed&Surg,178,http://health.usnews.com/best-hospitals/shelby-baptist-medical-center-6530010,Alabaster,AL,Baptist Health System,Shelby Baptist Medical Center,bhsala.com,http://www.bhsala.com/home_shelby.cfm?id=40,none,,none,,none,none,http://www.facebook.com/ShelbyBaptist,none,http://foursquare.com/venue/2795692,none,,,,,,
H-GenMed&Surg,129,http://health.usnews.com/best-hospitals/clay-county-hospital-6530080,Ashland,AL,none,Clay County Hospital,claycountyhospital.com,http://www.claycountyhospital.com/,none,,none,,none,none,http://www.facebook.com/pages/Clay-County-Hospital-Move-For-The-Cure/155139974515845,none,https://foursquare.com/venue/685255,none,,,,,,
H-GenMed&Surg,101,http://health.usnews.com/best-hospitals/athens-limestone-hospital-6530090,Athens,AL,none,Athens-Limestone Hospital,athenslimestonehospital.com,http://www.athenslimestonehospital.com/,new2alh,04/04/11,http://www.youtube.com/user/new2alh,,none,none,http://www.facebook.com/pages/Athens-Limestone-Hospital-Foundation/379214535929,none,https://foursquare.com/venue/16663781,none,,,,,,
H-GenMed&Surg,49,http://health.usnews.com/best-hospitals/atmore-community-hospital-6530100,Atmore,AL,Baptist Health Care Corporation,Atmore Community Hospital,ebaptisthealthcare.org,http://www.ebaptisthealthcare.org,none,,none,,none,none,http://www.facebook.com/AtmoreCommunityHospital,none,https://foursquare.com/venue/8482765,none,,,,,,
Health System,na,none,Birmingham,AL,none,Baptist Health System,bhsala.com,http://www.bhsala.com/,BaptistHealthSystem,10/21/10,http://www.youtube.com/BaptistHealthSystem,,none,none,none,none,none,none,,,,,,
H-GenMed&Surg,138,http://health.usnews.com/best-hospitals/veterans-affairs-medical-center-6530305,Birmingham,AL,Department of Veterans Affairs,Birmingham VA Medical Center,birmingham.va.gov,http://www.birmingham.va.gov/,none,,none,,none,none,http://www.facebook.com/BirminghamVAMC,none,https://foursquare.com/venue/17738891,none,,,,,,
H-GenMed&Surg,586,http://health.usnews.com/best-hospitals/brookwood-medical-center-6530175 ,Birmingham,AL,TENET Healthcare Corporation,Brookwood Medical Center,bwmc.com,http://www.bwmc.com/en-US/Pages/default.aspx,brookwoodmedicalctr,02/05/10,http://www.youtube.com/brookwoodmedicalctr,20/08/2009,BrookwoodMed,http://twitter.com/BrookwoodMed,http://www.facebook.com/BrookwoodMedicalCenter,none,http://foursquare.com/venue/1003417,none,,,,,,
