SH.CON.1524.FE.ZS;Condom use, population ages 15-24, female (% of females ages 15-24)
SH.CON.1524.MA.ZS;Condom use, population ages 15-24, male (% of males ages 15-24)
SH.DYN.AIDS.FE.ZS;Female adults with HIV (% of population ages 15+ with HIV)
SH.DYN.AIDS.ZS;Prevalence of HIV, total (% of population ages 15-49)
SH.DYN.CHLD.FE;Mortality rate, female child (per 1,000 female children age one)
SH.DYN.CHLD.MA;Mortality rate, male child (per 1,000 male children age one)
SH.DYN.MORT;Mortality rate, under-5 (per 1,000)
SH.DYN.NMRT;Mortality rate, neonatal (per 1,000 live births)
SH.HIV.0014;Children (0-14) living with HIV
SH.HIV.1524.FE.ZS;Prevalence of HIV, female (% ages 15-24)
SH.HIV.1524.MA.ZS;Prevalence of HIV, male (% ages 15-24)
SH.IMM.IDPT;Immunization, DPT (% of children ages 12-23 months)
SH.IMM.MEAS;Immunization, measles (% of children ages 12-23 months)
SH.MED.BEDS.ZS;Hospital beds (per 1,000 people)
SH.MED.CMHW.P3;Community health workers (per 1,000 people)
SH.MED.NUMW.P3;Nurses and midwives (per 1,000 people)
SH.MED.PHYS.ZS;Physicians (per 1,000 people)
SH.MLR.INCD;Notified cases of malaria (per 100,000 people)
SH.MLR.NETS.ZS;Use of insecticide-treated bed nets (% of under-5 population)
SH.MLR.TRET.ZS;Children with fever receiving antimalarial drugs (% of children under age 5 with fever)
SH.MMR.RISK;Lifetime risk of maternal death (1 in: rate varies by country)
SH.MMR.RISK.ZS;Lifetime risk of maternal death (%)
SH.PRV.SMOK.FE;Smoking prevalence, females (% of adults)
SH.PRV.SMOK.MA;Smoking prevalence, males (% of adults)
SH.STA.ACSN;Improved sanitation facilities (% of population with access)
SH.STA.ACSN.RU;Improved sanitation facilities, rural (% of rural population with access)
SH.STA.ACSN.UR;Improved sanitation facilities, urban (% of urban population with access)
SH.STA.ANVC.ZS;Pregnant women receiving prenatal care (%)
SH.STA.ARIC.ZS;ARI treatment (% of children under 5 taken to a health provider)
SH.STA.BFED.ZS;Exclusive breastfeeding (% of children under 6 months)
SH.STA.BRTC.ZS;Births attended by skilled health staff (% of total)
SH.STA.BRTW.ZS;Low-birthweight babies (% of births)
SH.STA.MALN.ZS;Malnutrition prevalence, weight for age (% of children under 5)
SH.STA.MMRT;Maternal mortality ratio (modeled estimate, per 100,000 live births)
SH.STA.MMRT.NE;Maternal mortality ratio (national estimate, per 100,000 live births)
SH.STA.ORCF.ZS;Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)
SH.STA.OWGH.ZS;Prevalence of overweight (% of children under 5)
SH.STA.STNT.ZS;Malnutrition prevalence, height for age (% of children under 5)
SH.STA.WAST.ZS;Prevalence of wasting (% of children under 5)
SH.TBS.CURE.ZS;Tuberculosis treatment success rate (% of registered cases)
SH.TBS.DTEC.ZS;Tuberculosis case detection rate (%, all forms)
SH.TBS.INCD;Incidence of tuberculosis (per 100,000 people)
SH.VAC.TTNS.ZS;Newborns protected against tetanus (%)
SH.VST.OUTP;Outpatient visits per capita
SH.XPD.EXTR.ZS;External resources for health (% of total expenditure on health)
SH.XPD.OOPC.TO.ZS;Out-of-pocket health expenditure (% of total expenditure on health)
SH.XPD.OOPC.ZS;Out-of-pocket health expenditure (% of private expenditure on health)
SH.XPD.PCAP;Health expenditure per capita (current US$)
SH.XPD.PCAP.PP.KD;Health expenditure per capita, PPP (constant 2005 international $)
SH.XPD.PRIV.ZS;Health expenditure, private (% of GDP)
SH.XPD.PUBL;Health expenditure, public (% of total health expenditure)
SH.XPD.PUBL.GX.ZS;Health expenditure, public (% of government expenditure)
SH.XPD.PUBL.ZS;Health expenditure, public (% of GDP)
SH.XPD.TOTL.ZS;Health expenditure, total (% of GDP)
SN.ITK.DEFC.ZS;Prevalence of undernourishment (% of population)
SN.ITK.DPTH;Depth of hunger (kilocalories per person per day)
SN.ITK.SALT.ZS;Consumption of iodized salt (% of households)
